model,person,alpha,beta,floor,recall,precision,f1,f2,map50,baseline
head_m,yolo11m,0.5,0.0,0.15,0.8390,0.8314,0.8352,0.8375,0.8230,0
head_m,yolo11m,0.5,0.5,0.15,0.8463,0.6228,0.7175,0.7896,0.8223,0
head_m,yolo11m,1.0,0.0,0.15,0.8436,0.8236,0.8335,0.8395,0.8161,0
head_m,yolo11m,1.0,0.5,0.15,0.8509,0.6193,0.7169,0.7917,0.8171,0
head_m,yolo11m,1.5,0.0,0.15,0.8456,0.8161,0.8306,0.8395,0.8067,0
head_m,yolo11m,1.5,0.5,0.15,0.8528,0.6155,0.7150,0.7918,0.8087,0
head_m,yolo11m,2.0,0.0,0.15,0.8456,0.8156,0.8303,0.8394,0.8005,0
head_m,yolo11m,2.0,0.5,0.15,0.8528,0.6152,0.7148,0.7917,0.8034,0
head_m,yolo11m,2.5,0.0,0.15,0.8463,0.8142,0.8299,0.8396,0.7947,0
head_m,yolo11m,2.5,0.5,0.15,0.8535,0.6145,0.7145,0.7919,0.7983,0
head_m,yolo11m,0.5,0.0,0.2,0.8377,0.8317,0.8347,0.8365,0.8146,0
head_m,yolo11m,0.5,0.5,0.2,0.8469,0.6230,0.7179,0.7901,0.8182,0
head_m,yolo11m,1.0,0.0,0.2,0.8390,0.8298,0.8344,0.8372,0.8076,0
head_m,yolo11m,1.0,0.5,0.2,0.8482,0.6222,0.7178,0.7908,0.8128,0
head_m,yolo11m,1.5,0.0,0.2,0.8390,0.8287,0.8338,0.8369,0.7982,0
head_m,yolo11m,1.5,0.5,0.2,0.8482,0.6216,0.7174,0.7906,0.8042,0
head_m,yolo11m,2.0,0.0,0.2,0.8390,0.8281,0.8336,0.8368,0.7919,0
head_m,yolo11m,2.0,0.5,0.2,0.8482,0.6213,0.7172,0.7905,0.7986,0
head_m,yolo11m,2.5,0.0,0.2,0.8390,0.8281,0.8336,0.8368,0.7861,0
head_m,yolo11m,2.5,0.5,0.2,0.8482,0.6213,0.7172,0.7905,0.7933,0
